"view_history","rt","trial","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","pvt_iti","correct","pvt_stopwatch"
"[{""page_index"":0,""viewing_time"":824},{""page_index"":1,""viewing_time"":372}]","1197","pvt_start_screen","instructions","0","1199","0.0-0.0","","","","",""
"","null","practice_pvt_fixation","html-keyboard-response","1","5226","0.0-1.0-0.0","<span class = ""fixation"">00000</span>","null","4011","",""
"","967","practice_pvt_stopwatch","html-keyboard-response","2","6194","0.0-1.0-1.0","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">965</span>"
"","null","practice_pvt_feedback","html-keyboard-response","3","7705","0.0-1.0-2.0","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">965</span></span></div>","null","","",""
"","null","practice_pvt_fixation","html-keyboard-response","4","11296","0.0-1.0-0.1","<span class = ""fixation"">00000</span>","null","3575","",""
"","454","practice_pvt_stopwatch","html-keyboard-response","5","11751","0.0-1.0-1.1","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">451</span>"
"","null","practice_pvt_feedback","html-keyboard-response","6","13265","0.0-1.0-2.1","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">451</span></span></div>","null","","",""
"","null","practice_pvt_fixation","html-keyboard-response","7","21197","0.0-1.0-0.2","<span class = ""fixation"">00000</span>","null","7928","",""
"","1685","practice_pvt_stopwatch","html-keyboard-response","8","22882","0.0-1.0-1.2","<div><span id=""time"" class=""time"">00000</span></div>"," ","","0","<span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1684</span>"
"","null","practice_pvt_feedback","html-keyboard-response","9","24396","0.0-1.0-2.2","<div><span class=""feedback""><span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1684</span></span></div>","null","","",""
"","2633","practice_pvt_evaluation","html-button-response","10","27030","0.0-2.0","<span style=""font-size:40px"">You caught 2 out of 3 stopwatches on time!</span><br><br><br>Well done!<br><br>","0","","",""
"","617","pvt_instructions","html-button-response","11","27648","0.0-5.0","<br><br><div class=""instructions"" style=""max-width:700px;"">Great, you're ready for the task!<br>Press the space bar with your dominant hand. This part of the task will be subject to data quality controls detecting implausible and inattentive response patterns. <p style=""color:#8B0000""><b>Too many errors will terminate the study!</b></p>When you click ""continue"", the attention task will begin. <b>It will take 3 minutes.</b> </div>","0","","",""
"","null","main_pvt_fixation","html-keyboard-response","12","35105","0.0-6.0-0.0-0.0","<span class = ""fixation"">00000</span>","null","7450","",""
"","563","main_pvt_stopwatch","html-keyboard-response","13","35669","0.0-6.0-1.0-0.0","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">560</span>"
"","null","main_pvt_feedback","html-keyboard-response","14","37185","0.0-6.0-2.0-0.0","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">560</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","15","46415","0.0-6.0-0.1-0.1","<span class = ""fixation"">00000</span>","null","9219","",""
"","1270","main_pvt_stopwatch","html-keyboard-response","16","47686","0.0-6.0-1.1-0.1","<div><span id=""time"" class=""time"">00000</span></div>"," ","","0","<span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1267</span>"
"","null","main_pvt_feedback","html-keyboard-response","17","49196","0.0-6.0-2.1-0.1","<div><span class=""feedback""><span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1267</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","18","54645","0.0-6.0-0.2-0.2","<span class = ""fixation"">00000</span>","null","5429","",""
"","495","main_pvt_stopwatch","html-keyboard-response","19","55141","0.0-6.0-1.2-0.2","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">494</span>"
"","null","main_pvt_feedback","html-keyboard-response","20","56656","0.0-6.0-2.2-0.2","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">494</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","21","60026","0.0-6.0-0.3-0.3","<span class = ""fixation"">00000</span>","null","3364","",""
"","1617","main_pvt_stopwatch","html-keyboard-response","22","61643","0.0-6.0-1.3-0.3","<div><span id=""time"" class=""time"">00000</span></div>"," ","","0","<span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1615</span>"
"","null","main_pvt_feedback","html-keyboard-response","23","63156","0.0-6.0-2.3-0.3","<div><span class=""feedback""><span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1615</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","24","67346","0.0-6.0-0.4-0.4","<span class = ""fixation"">00000</span>","null","4170","",""
"","378","main_pvt_stopwatch","html-keyboard-response","25","67725","0.0-6.0-1.4-0.4","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">375</span>"
"","null","main_pvt_feedback","html-keyboard-response","26","69235","0.0-6.0-2.4-0.4","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">375</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","27","77518","0.0-6.0-0.5-0.5","<span class = ""fixation"">00000</span>","null","8278","",""
"","471","main_pvt_stopwatch","html-keyboard-response","28","77990","0.0-6.0-1.5-0.5","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">468</span>"
"","null","main_pvt_feedback","html-keyboard-response","29","79496","0.0-6.0-2.5-0.5","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">468</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","30","86005","0.0-6.0-0.6-0.6","<span class = ""fixation"">00000</span>","null","6506","",""
"","364","main_pvt_stopwatch","html-keyboard-response","31","86370","0.0-6.0-1.6-0.6","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">359</span>"
"","null","main_pvt_feedback","html-keyboard-response","32","87876","0.0-6.0-2.6-0.6","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">359</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","33","95446","0.0-6.0-0.7-0.7","<span class = ""fixation"">00000</span>","null","7554","",""
"","337","main_pvt_stopwatch","html-keyboard-response","34","95784","0.0-6.0-1.7-0.7","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">334</span>"
"","null","main_pvt_feedback","html-keyboard-response","35","97296","0.0-6.0-2.7-0.7","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">334</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","36","100966","0.0-6.0-0.8-0.8","<span class = ""fixation"">00000</span>","null","3656","",""
"","448","main_pvt_stopwatch","html-keyboard-response","37","101415","0.0-6.0-1.8-0.8","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">447</span>"
"","null","main_pvt_feedback","html-keyboard-response","38","102936","0.0-6.0-2.8-0.8","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">447</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","39","107366","0.0-6.0-0.9-0.9","<span class = ""fixation"">00000</span>","null","4418","",""
"","418","main_pvt_stopwatch","html-keyboard-response","40","107784","0.0-6.0-1.9-0.9","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">417</span>"
"","null","main_pvt_feedback","html-keyboard-response","41","109286","0.0-6.0-2.9-0.9","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">417</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","42","118546","0.0-6.0-0.10-0.10","<span class = ""fixation"">00000</span>","null","9249","",""
"","403","main_pvt_stopwatch","html-keyboard-response","43","118950","0.0-6.0-1.10-0.10","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">400</span>"
"","null","main_pvt_feedback","html-keyboard-response","44","120455","0.0-6.0-2.10-0.10","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">400</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","45","128528","0.0-6.0-0.11-0.11","<span class = ""fixation"">00000</span>","null","8064","",""
"","262","main_pvt_stopwatch","html-keyboard-response","46","128791","0.0-6.0-1.11-0.11","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">259</span>"
"","null","main_pvt_feedback","html-keyboard-response","47","130305","0.0-6.0-2.11-0.11","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">259</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","48","139296","0.0-6.0-0.12-0.12","<span class = ""fixation"">00000</span>","null","8985","",""
"","1052","main_pvt_stopwatch","html-keyboard-response","49","140349","0.0-6.0-1.12-0.12","<div><span id=""time"" class=""time"">00000</span></div>"," ","","0","<span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1052</span>"
"","null","main_pvt_feedback","html-keyboard-response","50","141865","0.0-6.0-2.12-0.12","<div><span class=""feedback""><span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1052</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","51","147155","0.0-6.0-0.13-0.13","<span class = ""fixation"">00000</span>","null","5281","",""
"","731","main_pvt_stopwatch","html-keyboard-response","52","147887","0.0-6.0-1.13-0.13","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">728</span>"
"","null","main_pvt_feedback","html-keyboard-response","53","149396","0.0-6.0-2.13-0.13","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">728</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","54","155636","0.0-6.0-0.14-0.14","<span class = ""fixation"">00000</span>","null","6229","",""
"","292","main_pvt_stopwatch","html-keyboard-response","55","155928","0.0-6.0-1.14-0.14","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">291</span>"
"","null","main_pvt_feedback","html-keyboard-response","56","157436","0.0-6.0-2.14-0.14","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">291</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","57","159886","0.0-6.0-0.15-0.15","<span class = ""fixation"">00000</span>","null","2442","",""
"","362","main_pvt_stopwatch","html-keyboard-response","58","160248","0.0-6.0-1.15-0.15","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">359</span>"
"","null","main_pvt_feedback","html-keyboard-response","59","161765","0.0-6.0-2.15-0.15","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">359</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","60","171196","0.0-6.0-0.16-0.16","<span class = ""fixation"">00000</span>","null","9414","",""
"","991","main_pvt_stopwatch","html-keyboard-response","61","172187","0.0-6.0-1.16-0.16","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">991</span>"
"","null","main_pvt_feedback","html-keyboard-response","62","173696","0.0-6.0-2.16-0.16","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">991</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","63","182336","0.0-6.0-0.17-0.17","<span class = ""fixation"">00000</span>","null","8620","",""
"","253","main_pvt_stopwatch","html-keyboard-response","64","182590","0.0-6.0-1.17-0.17","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">252</span>"
"","null","main_pvt_feedback","html-keyboard-response","65","184105","0.0-6.0-2.17-0.17","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">252</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","66","191686","0.0-6.0-0.18-0.18","<span class = ""fixation"">00000</span>","null","7560","",""
"","363","main_pvt_stopwatch","html-keyboard-response","67","192049","0.0-6.0-1.18-0.18","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">359</span>"
"","null","main_pvt_feedback","html-keyboard-response","68","193565","0.0-6.0-2.18-0.18","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">359</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","69","196296","0.0-6.0-0.19-0.19","<span class = ""fixation"">00000</span>","null","2724","",""
"","1275","main_pvt_stopwatch","html-keyboard-response","70","197571","0.0-6.0-1.19-0.19","<div><span id=""time"" class=""time"">00000</span></div>"," ","","0","<span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1275</span>"
"","null","main_pvt_feedback","html-keyboard-response","71","199075","0.0-6.0-2.19-0.19","<div><span class=""feedback""><span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1275</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","72","202925","0.0-6.0-0.20-0.20","<span class = ""fixation"">00000</span>","null","3840","",""
"","382","main_pvt_stopwatch","html-keyboard-response","73","203308","0.0-6.0-1.20-0.20","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">379</span>"
"","null","main_pvt_feedback","html-keyboard-response","74","204826","0.0-6.0-2.20-0.20","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">379</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","75","207233","0.0-6.0-0.21-0.21","<span class = ""fixation"">00000</span>","null","2393","",""
"","873","main_pvt_stopwatch","html-keyboard-response","76","208106","0.0-6.0-1.21-0.21","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">871</span>"
"","42276","pvt_instructions","html-button-response","77","250382","0.0-9.0","<br><br><div class=""instructions"" style=""max-width:700px;"">Well done, that was it!<br></div>","0","","",""
